,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,detection_size,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,true_positive_mocks,hi_mass,asymmetry,overlap_area,area_gt,mos_name
62,63,29.714285714285715,303.95238095238096,319.46666666666664,28,303,314,33,306,325,105,119.31936645507812,119.31936645507812,1.9807997941970825,"[28, 303, 317]",14.638735961765706,165,465.97919845914623,3,11,38.64644890421846,40.66435738188397,149.10264844372077,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,2685229810872286.0,,,,1245mosH
63,64,30.0,68.0,355.0,30,68,355,31,69,356,1,1.0929988622665405,1.0929988622665405,1.0929988622665405,"[30, 68, 355]",,1,465.8434488751252,1,1,7.7292897808436924,13.550836967946987,13.550836967946987,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,24974050770836.234,,,,1245mosH
64,65,30.0,153.0,162.5,30,153,162,31,154,164,2,1.8087449073791504,1.8087449073791504,1.4111108779907227,"[30, 153, 162]",inf,2,465.8434488751252,1,2,7.7292897808436924,13.550836967946987,27.101673958826314,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,41973963874890.14,,,,1245mosH
65,66,30.2,305.8,303.0,30,305,302,32,307,305,5,5.726526260375977,5.726526260375977,1.873163104057312,"[30, 306, 304]",,12,465.8434488751252,2,3,15.458579561687385,27.101673958826314,40.65251099557032,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,134934965733067.53,,,,1245mosH
66,67,30.0,324.6666666666667,382.6666666666667,30,324,382,31,326,384,3,4.628937721252441,4.628937721252441,1.9830822944641113,"[30, 325, 383]",3.0000000000000004,4,465.8434488751252,2,2,7.7292897808436924,27.101673958826314,27.101673958826314,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,110724939698066.9,,,,1245mosH
67,68,48.626647144948755,14.68814055636896,1715.9546120058565,44,11,1709,55,20,1724,683,1605.76025390625,1605.76025390625,7.233343601226807,"[44, 12, 1721]",5.005513482968479,1485,463.4012828477828,9,15,85.02218758928062,121.3181778624622,202.19697131646706,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,3.859551137279261e+16,,,,1245mosH
68,69,63.26923076923077,1180.0576923076924,776.5192307692307,58,1176,772,67,1184,784,104,218.5468292236328,218.5468292236328,4.395122528076172,"[66, 1180, 776]",33.20118470111193,864,461.36806253995326,8,12,69.56360802759322,107.36522793458876,161.04784553580782,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,5285760337161109.0,,,,1245mosH
69,70,71.13793103448276,1.3218390804597702,814.0632183908046,60,0,812,81,4,817,174,130.3915557861328,130.3915557861328,6.736071586608887,"[75, 1, 813]",1.8333333333333333,420,460.28439051260466,4,5,162.31508539771752,53.55652227096242,66.94565300864313,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,3185063224698329.5,,,,1245mosH
70,71,60.0,1164.0,776.0,60,1164,776,61,1165,777,1,2.8870697021484375,2.8870697021484375,2.8870697021484375,"[60, 1164, 776]",,1,461.7745672266255,1,1,7.7292897808436924,13.432477995648826,13.432477995648826,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,71970952212960.9,,,,1245mosH
71,72,63.32,1153.76,767.96,62,1152,766,66,1156,771,25,60.59809875488281,60.59809875488281,4.330505847930908,"[64, 1154, 767]",9.932655320482342,80,461.36806253995326,4,5,30.91715912337477,53.682613240509475,67.10326672097706,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1529344633099327.0,,,,1245mosH
72,73,63.74666666666667,1165.3466666666666,774.24,62,1162,768,67,1171,780,75,168.70849609375,168.70849609375,3.755322217941284,"[66, 1163, 777]",56.44988692268481,540,461.36806253995326,9,12,38.64644890421846,120.78588200556908,161.04784553580782,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,4316916703393440.0,,,,1245mosH
73,74,63.76315789473684,1187.5263157894738,789.421052631579,62,1186,786,67,1190,793,38,64.8652572631836,64.8652572631836,3.280445098876953,"[64, 1189, 786]",19.281470067903925,140,461.36806253995326,4,7,38.64644890421846,53.682613240509475,93.94457404530465,data/vnet_output/exp5/vnet_cubeout_loud_1245mosH.fits,False,1682510335900119.2,,,,1245mosH
