,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type,mos_name,z_pos,x_pos,y_pos
365,32,513.0775064462308,337.8117700591537,719.6390110723496,495,326,710,533,351,730,6593,9.360941886901855,1.7411742405875617,293.7130116720603,25,20,5,9,6,"[500, 335, 716]",126.64504643070471,92.09889519582188,73.67911148083519,"[4.914075772796824, 0.06222975501866712]",real,1245mosD,514,338,720
366,33,537.4039215686274,415.4441176470588,632.6163398692812,523,408,626,555,424,640,3060,6.16847562789917,2.0153345712782365,247.33727298699813,16,14,26,7,8,"[549, 415, 634]",123.83774672685655,57.63671005342175,50.43212044327155,"[1.7157107637483027, 0.07325673362863938]",real,1245mosD,539,416,633
666,1,47.47130647130647,157.24786324786325,315.55677655677664,39,152,311,56,163,322,819,2.9919145107269287,1.5321564139179171,131.39792627434278,11,11,7,7,5,"[46, 159, 316]",249.10638151465767,79.70832464386018,79.70832464386018,"[0.4401703816315273, 0.013086578499195894]",real,1245mosE,47,157,316
667,2,125.56639566395664,117.93631436314364,339.4186991869919,119,112,334,134,124,346,738,4.846230983734131,2.0915473309429697,115.93934671265538,12,12,12,6,1,"[131, 118, 335]",239.4831750977794,83.59540359001784,83.59540359001784,"[0.44143725873571693, 0.013781096599705106]",real,1245mosE,126,118,340
668,3,321.09985558077165,312.49556426655664,1393.1343098824013,299,302,1385,349,322,1403,4847,6.369337558746338,1.669046133424548,386.46448904218454,20,18,9,10,7,"[308, 312, 1392]",215.4812041684238,125.36190014061778,112.82570770801905,"[3.727024760749265, 0.07791366651204014]",real,1245mosE,324,312,1394
669,4,337.0340705319785,534.0,1204.0125523012553,324,527,1198,351,541,1210,1673,4.5084428787231445,1.6959496472548252,208.6908240827797,14,12,6,8,5,"[330, 535, 1203]",213.5331029724808,86.95997345208653,74.53711900856993,"[1.1650229390782447, 0.05738094468459229]",real,1245mosE,337,534,1204
670,5,328.0,540.3333333333334,1198.3333333333333,328,540,1198,329,542,1200,3,0.9965574741363524,3.0000000000000004,7.7292897808436924,2,2,0,0,0,"[328, 540, 1198]",214.6287022185316,12.4865920595825,12.4865920595825,"[0.002059055981029854, 0.0009914947318671475]",real,1245mosE,328,541,1199
671,6,348.4691812327507,756.0855565777368,1106.541858325667,336,752,1102,362,762,1112,1087,4.569305419921875,1.1293625593460286,200.96153430193598,10,10,24,5,4,"[360, 757, 1106]",212.1947619175621,61.724957417164866,61.724957417164866,"[0.5850007278193907, 0.04377117660314878]",real,1245mosE,349,757,1107
672,7,354.55,489.71569767441866,1038.5587209302323,340,483,1034,371,497,1045,1720,5.618340492248535,2.8671287650283532,239.60798320615444,14,11,3,6,2,"[343, 489, 1036]",211.46509346219483,86.11778997041664,67.66397640253571,"[1.2549203705448082, 0.044165827607376786]",real,1245mosE,355,490,1039
673,8,355.2388571428572,855.8285714285713,781.3091428571429,341,849,776,376,863,788,1750,5.803173065185548,2.053915881226695,270.5251423295292,14,12,32,9,3,"[373, 858, 779]",211.34350508385162,86.06827389068188,73.77280511000453,"[1.3231483396951798, 0.05956833895893018]",real,1245mosE,358,856,782
