label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,elongation,n_vel,nx,ny,max_loc-0,max_loc-1,max_loc-2,max_loc,dist,nx_kpc,ny_kpc,fluxes,type
42,104.67438271604938,132.3719135802469,741.3577160493827,86,124,735,124,142,749,3240,0.0021296702325344086,2.325080466366941,293.7130116720603,18,14,32,10,8,"[118, 134, 743]",175.2812857810669,91.77707722833667,71.3821686004982,"[0.000979072326449166, 2.9196200863096846e-05]",mock
43,99.69913211186113,489.3616200578592,1381.304725168756,88,482,1377,112,497,1387,2074,0.00028445105999708176,2.0375654442036417,185.50295474024858,15,10,5,8,4,"[93, 490, 1381]",175.87957422689092,76.74194815897509,51.1612969688741,"[0.00012392314944695192, 5.539178283707002e-06]",mock
44,104.70916334661355,758.3796812749003,1327.3446215139443,91,750,1323,119,768,1333,2510,0.0015159788308665156,1.6357297715819965,216.42011386362336,18,10,5,7,4,"[96, 757, 1327]",175.2812857810669,91.77707722833667,50.98726190548259,"[0.0007182792443205887, 2.7368840231852956e-05]",mock
45,116.70790585395292,307.86436330718163,923.8427881713941,95,296,912,140,321,937,6628,0.005478925071656704,4.419257188177097,347.81804013796614,25,25,40,15,8,"[135, 311, 920]",173.84604840388786,126.42443935553425,126.42443935553425,"[0.005320103164963291, 4.9526026633758675e-05]",mock
46,109.68438859352344,585.8496858385694,1484.8651522474624,98,579,1480,123,594,1491,2069,0.0011061412515118718,3.0453441420996485,193.23224452109227,15,11,5,7,6,"[103, 586, 1486]",174.68315787833401,76.2199130005373,55.89460122747455,"[0.0006161596606176113, 2.3671624018680066e-05]",mock
47,110.69593956562795,90.85599622285174,531.8262511803588,99,83,527,123,100,537,2118,0.0010139432270079851,1.8217087405050791,185.50295474024858,17,10,5,7,5,"[104, 90, 532]",174.56355155727144,86.32342310393551,50.77848147188344,"[0.00036711500105786294, 1.517958458625087e-05]",mock
48,106.69151291512915,689.3571955719557,1280.2892988929889,99,682,1276,115,697,1286,1355,0.00046003510942682624,2.1086351567652186,123.66863649349908,15,10,4,7,4,"[103, 689, 1280]",175.0420153584216,76.37649412858698,50.91766095720514,"[0.0001063385165698381, 4.892134687398994e-06]",mock
49,120.68603142568834,851.8669453654318,546.8520974484647,102,840,531,141,865,564,6937,0.006527677644044161,7.808339716188691,301.44230145290396,25,33,33,10,21,"[135, 850, 552]",173.3678412856507,126.07667725582577,166.42123575768835,"[0.007215732915600007, 4.417980499170901e-05]",mock
50,122.66635859519408,120.35998151571164,337.35536044362294,111,113,333,136,128,343,2164,0.0003687464050017297,2.320903256276069,193.23224452109227,15,10,20,8,5,"[131, 121, 338]",173.12877620934566,75.54168599217031,50.36112221921572,"[0.00014727738483243948, 6.2961157593217495e-06]",mock
51,120.64475431606905,75.85258964143426,142.8432934926959,112,69,138,130,84,148,1506,0.0008611900848336518,2.2230050216952084,139.12721605518644,15,10,11,7,5,"[123, 76, 143]",173.3678412856507,75.64599781901586,50.430663434660964,"[0.00024500763903708615, 1.0631438208607313e-05]",mock
52,119.6849925705795,879.8640416047548,1111.864041604755,112,873,1107,128,888,1117,1346,0.0009785057045519352,1.8761426937090377,123.66863649349908,15,10,10,6,5,"[122, 879, 1112]",173.48738344373203,75.69815792992478,50.46543684070759,"[0.00019686988409342793, 9.04604200824658e-06]",mock
53,125.70084811102544,84.36006168080185,222.36931380107941,113,76,215,140,94,230,2594,0.002620573854073882,2.7083073491407106,208.69082408277967,18,15,20,9,9,"[133, 85, 224]",172.77022668679433,90.46228960915053,75.38523923595652,"[0.0013010882652474962, 3.4056657314699816e-05]",mock
54,133.71580698835274,599.3507487520799,153.37171381031615,118,591,148,150,608,160,3005,0.0017051607137545943,2.5918822607685663,247.33727298699816,17,12,5,7,4,"[123, 598, 152]",171.8143766674792,84.96392860991801,59.97453538947359,"[0.0006791763050346587, 1.9398883642265604e-05]",mock
55,127.67053364269141,39.36937354988399,1001.3781902552204,119,30,995,138,50,1009,2155,0.004317500628530979,1.8696240800302926,146.85650583603015,20,14,5,11,7,"[124, 41, 1002]",172.53122572701133,100.37461213472014,70.262224451496,"[0.001620705569849843, 3.711193377683494e-05]",mock
56,133.67565403096637,827.3667912439936,140.374532835024,119,817,132,149,839,150,3746,0.0045045106671750546,3.0804279862066544,231.87869342531076,22,18,25,13,6,"[144, 830, 138]",171.8143766674792,109.95332542501531,89.96180765153319,"[0.003540869560098267, 5.261885212242028e-05]",mock
57,127.67254408060454,573.3438287153652,1182.3400503778337,123,566,1178,134,581,1188,794,0.001135928789153695,2.1208187092604978,85.02218758928062,15,10,5,7,4,"[128, 573, 1182]",172.53122572701133,75.28095538522379,50.187301820713046,"[0.0001133917801437839, 5.346163351014219e-06]",mock
58,129.63127413127413,580.3619691119691,1427.3552123552124,124,573,1423,137,589,1433,1036,0.0012064046459272504,2.3505504651184044,100.48076715096799,16,10,4,7,5,"[128, 580, 1428]",172.29225040661498,80.18846227104373,50.11778671420467,"[0.00029628197852201533, 1.2602448610527912e-05]",mock
59,131.65730741540676,814.3506119510439,799.3585313174946,124,807,795,140,823,805,1389,0.0007328176288865507,2.0488804924742445,123.66863649349908,16,10,11,8,4,"[135, 815, 799]",172.05330072147905,80.07725002692956,50.04827906469167,"[0.00014333621519659425, 6.120601877480401e-06]",mock
