,file,mass
0,g2_model541.fits,776445463.3316865
0,g1_model375.fits,969101620.3320575
0,g2_model425.fits,596786959.4124236
0,g2_model701.fits,
0,g1_model613.fits,
0,g1_model801.fits,
0,g1_model2.fits,196250728.33468282
0,g1_model179.fits,318467042.3653324
0,g1_model973.fits,
0,g2_model739.fits,2153302832.005764
0,g2_model670.fits,1402512274.9772563
0,g2_model488.fits,
0,g2_model680.fits,1349828725.6398818
0,g1_model363.fits,610154917.5688081
0,g2_model418.fits,
0,g2_model432.fits,708744528.7350329
0,g1_model414.fits,465989797.12968826
0,g2_model227.fits,395996094.9417889
0,g1_model39.fits,201482468.56508368
0,g2_model299.fits,353994544.12818336
0,g2_model843.fits,2558984156.7393
0,g2_model539.fits,
0,g2_model16.fits,225923551.3924441
0,g2_model501.fits,
0,g2_model147.fits,
0,g1_model311.fits,370911986.01121545
0,g2_model916.fits,3535554985.980555
0,g1_model545.fits,808650127.825234
0,g1_model402.fits,758396270.0993934
0,g1_model465.fits,
0,g2_model623.fits,990262468.7608122
0,g1_model35.fits,
0,g1_model365.fits,475616300.6710609
0,g1_model182.fits,456991384.6943227
0,g2_model397.fits,491265575.13832235
0,g1_model566.fits,876618958.1434249
0,g2_model574.fits,1142150961.305488
0,g2_model578.fits,
0,g2_model241.fits,336029280.2619301
0,g2_model659.fits,1036098441.9101286
0,g2_model115.fits,
0,g2_model762.fits,2403162087.3592777
0,g2_model449.fits,595702070.4681222
0,g1_model71.fits,202381375.11304024
0,g1_model81.fits,350714376.0343834
0,g2_model967.fits,5606110661.451381
0,g2_model106.fits,250309789.69996032
0,g1_model539.fits,739159360.4128797
0,g2_model737.fits,1463142670.5907147
0,g1_model80.fits,231014912.85552242
0,g2_model644.fits,956195688.0022932
0,g2_model745.fits,1246508364.777202
0,g2_model712.fits,1496917958.3762014
0,g1_model832.fits,
0,g1_model815.fits,
0,g1_model269.fits,374931902.6303624
0,g1_model361.fits,551937300.3871709
0,g1_model767.fits,1249645907.657833
0,g2_model104.fits,298041534.4115597
0,g1_model208.fits,330212909.54025036
0,g2_model543.fits,942250278.105354
0,g2_model284.fits,
0,g2_model1003.fits,15391142260.812605
0,g2_model446.fits,
0,g1_model721.fits,
0,g1_model706.fits,
0,g1_model7.fits,316985054.66946584
0,g1_model228.fits,
0,g1_model867.fits,2373858315.8325305
0,g1_model864.fits,3824454889.6822553
0,g1_model598.fits,1102397513.676692
0,g2_model903.fits,
0,g1_model774.fits,
0,g2_model997.fits,12161561742.084623
0,g2_model371.fits,771532892.6677985
0,g1_model165.fits,
0,g2_model321.fits,347053467.791414
0,g1_model830.fits,3045562078.360158
0,g2_model91.fits,286847523.75993043
0,g2_model380.fits,944454825.5595157
0,g1_model804.fits,2364639282.1622357
0,g2_model763.fits,2578846258.0004296
0,g1_model343.fits,475994794.95838535
0,g1_model470.fits,594384582.8931812
0,g2_model250.fits,
0,g2_model434.fits,500788889.6951226
0,g2_model394.fits,734914320.0233516
0,g2_model593.fits,765131619.0576246
0,g2_model902.fits,3109835922.1563735
0,g1_model541.fits,698901526.5595667
0,g1_model59.fits,230556354.9601228
0,g2_model295.fits,560817333.2865397
0,g1_model918.fits,3494532081.461218
0,g1_model497.fits,702888670.6115217
0,g1_model459.fits,
0,g1_model687.fits,1140469680.7108445
0,g2_model941.fits,3815849219.790054
0,g1_model434.fits,517843936.8869279
0,g2_model369.fits,
0,g2_model850.fits,
0,g1_model805.fits,2111062098.1967857
0,g2_model15.fits,200095745.37077755
0,g2_model364.fits,
0,g2_model85.fits,223485635.11140075
0,g2_model294.fits,
0,g2_model118.fits,424653296.1860184
0,g1_model88.fits,
0,g1_model974.fits,5443892887.3759365
0,g1_model314.fits,515652896.35361314
